,subject,Test,Score,Mu,Sigma,Tau,SCamp
113,16,OSPAN,-0.39359941771094503,175.87569932,45.64260703,69.19922793,5.1141186635944695
114,17,OSPAN,0.9587678123728146,155.99994454,38.69030276,88.584535805,4.835473856209147
115,18,OSPAN,1.1202444965619192,164.342599385,56.22700839,112.05009554,4.383762820512824
116,19,OSPAN,-0.7165527860891562,170.24517059,57.03860522,94.333945025,5.086203814064361
117,20,OSPAN,1.291813473512844,190.675329445,48.28638562,113.182591585,5.446834951456309
118,21,OSPAN,-0.08073834209455169,142.38167033,35.55011941,128.81424965,4.903515527950317
119,22,OSPAN,-2.1597506510292868,149.902649395,39.625252085,105.09143564,4.186255530973456
120,23,OSPAN,-1.917535624745627,163.58161244500005,46.15858851,96.5325773,4.681487964989056
121,24,OSPAN,-0.8982140558019001,185.59507939,75.91569855,137.38157547,5.830144032921821
122,25,OSPAN,-0.12110751314182926,148.670046725,34.3882581,82.896873935,3.871141649048624
123,26,OSPAN,0.04036917104727528,181.420656685,55.57542213000001,125.606951375,3.4627769886363624
124,27,OSPAN,0.16147668418910566,146.29907865,52.531402205,101.772580395,4.385365439093486
125,28,OSPAN,0.2825841973309348,157.65721171,41.26247220000001,121.418952025,4.817028676021969
126,29,OSPAN,0.4642454670436775,179.09139248,37.72648112,137.98269932,5.164463315217395
127,30,OSPAN,0.5752606874236887,178.67632585500004,51.16956010000001,105.905468645,4.799865642994238
128,31,OSPAN,0.15138439142728652,158.32711675500005,39.13057882,136.382408935,3.5762078093977485
129,32,OSPAN,0.25230731904547754,146.31628154,42.50577182,109.171008125,5.224154528182393
130,33,OSPAN,0.7468296643746124,146.43443288,53.4749681,130.76394503,5.1406473594548565
131,34,OSPAN,1.0798753255146438,167.013891655,65.11935074,128.59129744,4.795676258992807
132,35,OSPAN,1.1202444965619192,150.634135155,57.743122665,124.953257025,3.2288896103896136
133,36,OSPAN,0.1412920986654663,133.40833785,27.6329722,119.343968795,4.291958820255978
134,37,OSPAN,-0.010092292761819102,141.939818145,53.994471165,110.06232085,5.870077476480362
135,38,OSPAN,0.9183986413255372,140.66417755,31.76416333,225.24117630000003,5.4006887052341535
136,39,OSPAN,-0.3431379539018495,173.68504282,47.46669677,80.87046380000002,4.157159863945576
137,40,OSPAN,-0.3330456611400292,185.592609615,43.47614537,81.242785365,4.667697802197807
138,41,OSPAN,0.9587678123728146,158.78641972999995,56.394015875,117.259963545,4.870264005151312
139,42,OSPAN,-2.099196894458371,169.79067043499995,48.99104703,124.73146493,3.3954834684965736
140,43,OSPAN,0.6358144439946034,153.58666449999996,45.39721077,109.615002625,3.798125948406671
141,44,OSPAN,-0.9486755196109944,171.00265323,69.53126866,162.81103116,5.917180385288956
142,45,OSPAN,0.5348915163764124,149.83367852499995,70.446392965,122.436703325,5.2322367560497085
143,46,OSPAN,0.6156298584709641,193.212004075,55.38966599,124.544862275,5.335242847638054
144,47,OSPAN,-0.4036917104727629,170.686761935,63.160988205,69.79566292999999,4.2804693539480985
