,subject,Test,Score,Mu,Sigma,Tau,SCamp
181,85,OSPAN,-0.3330456611400292,139.12300598500002,30.47744679,126.487023565,4.465593815881938
182,87,OSPAN,0.2825841973309348,147.98689312,27.01406634,164.71175628,3.8885834411384224
183,88,OSPAN,-0.3330456611400292,175.10757124499997,55.34353872,89.96488568999996,3.6736041439476548
184,89,OSPAN,0.8477525919928034,161.98011735,25.15402452,214.70252356,4.522734113712372
185,90,OSPAN,0.11101522038001012,151.3187024,45.35702908499999,99.34192524,4.720042149631199
186,91,OSPAN,-2.704734460167517,148.22045569,39.414235415,108.624369395,2.8464909560723464
187,92,OSPAN,0.4945223453291349,142.00762855,48.771753025,117.856660615,4.5049582338902185
188,93,OSPAN,0.0908306348563708,129.28988464,25.642590105,145.79091399499995,2.8610064239828703
189,94,OSPAN,0.8477525919928034,137.417273765,34.47413181,151.48685547000005,4.799093117408908
190,95,OSPAN,0.5046146380909551,156.687354705,49.918118605,138.269286265,4.762193036041539
191,96,OSPAN,0.7468296643746124,166.32899153,46.48395306,117.64850486,5.3151520681265225
192,97,OSPAN,-0.1816612697127427,179.38709869000004,48.134279985,94.89727487,5.3676629213483125
193,98,OSPAN,-0.4642454670436787,130.022492005,50.05215364,142.65622416500003,5.470351458885938
194,99,OSPAN,-0.6257221512327832,173.345881495,58.11657805500001,134.467816635,4.2147508532423235
195,100,OSPAN,-0.12110751314182926,190.063484255,56.75025818,115.391555855,4.1406876606683705
196,1,RAPM,1.3420091496576434,139.88389196,37.80706276,102.72108886,4.679518518518517
197,2,RAPM,-0.6209296065580149,163.98694462999995,57.4222474,97.656616825,4.817836456558763
198,3,RAPM,0.9494213984145116,124.04167052,41.459445815,102.457896015,3.9810485810485785
199,4,RAPM,-0.2283418553148831,208.59069924,98.2665272,150.668076445,4.165633693972178
200,5,RAPM,1.7345969009007751,149.215281065,64.349665875,112.829027365,4.686259758694111
201,6,RAPM,-1.406105109044278,138.60017462500002,32.874101585,111.234232405,4.123028169014083
202,7,RAPM,-1.0135173578011465,132.957235125,28.387114865,165.88452799499996,3.6705106048703873
203,8,RAPM,0.9494213984145116,183.588431765,54.43409767,96.223101565,3.653760683760681
204,9,RAPM,0.9494213984145116,188.51188493,59.701667775,115.34775786,4.789210850801479
205,10,RAPM,0.5568336471713803,129.667358045,26.885107295,119.37426818,2.826130189646336
206,11,RAPM,-1.406105109044278,160.08317458,68.38699389,142.146800865,4.768942240779404
207,12,RAPM,0.5568336471713803,180.775421,53.44575337,57.27464181000001,5.524529872673839
208,13,RAPM,0.9494213984145116,153.96708929,53.869475455,108.383219015,5.1288363636363705
209,14,RAPM,-1.7986928602874095,152.891954995,52.35617042,144.647528585,5.330290368271959
